Question,Option A,Option B,Option C,Option D,Correct,Reasoning,,,,,
What is the capital of Germany?,Berlin,Madrid,Paris,Rome,A,Berlin is the capital city of Germany.,,,,,
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C,Mars is known as the Red Planet because of its reddish appearance.,,,,,
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Leo Tolstoy,Mark Twain,B,William Shakespeare authored 'Romeo and Juliet'.,,,,,
What is 5 Ã— 6?,11,30,56,25,B,5 times 6 equals 30.,,,,,
Which element has the chemical symbol 'O'?,Oxygen,Gold,Silver,Iron,A,Oxygen's chemical symbol is 'O'.,,,,,
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,The Pacific Ocean is the largest ocean.,,,,,
Who painted the Mona Lisa?,Vincent Van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C,Leonardo da Vinci painted the Mona Lisa.,,,,,
What is the boiling point of water in Celsius?,90,50,100,80,C,Water boils at 100Â°C at standard atmospheric pressure.,,,,,
Which country is famous for the Great Pyramid of Giza?,Mexico,Egypt,India,China,B,The Great Pyramid of Giza is located in Egypt.,,,,,
What is the speed of light?,300,000 km/s,150,000 km/s,120,000 km/s,100,000 km/s,A,The speed of light in vacuum is approximately 300,000 km/s.
What gas do plants absorb to make food?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide during photosynthesis.,,,,,
Which is the hardest natural substance on Earth?,Gold,Iron,Diamond,Silver,C,Diamond is the hardest natural substance.,,,,,
How many continents are there on Earth?,5,6,7,8,C,There are 7 continents on Earth.,,,,,
What is the chemical formula for water?,H2O,CO2,O2,NaCl,A,Water consists of two hydrogen atoms and one oxygen atom.,,,,,
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Marie Curie,B,Isaac Newton formulated gravitational theory.,,,,,
What is the currency of Japan?,Dollar,Euro,Yen,Pound,C,Yen is the official currency of Japan.,,,,,
Which organ pumps blood throughout the body?,Brain,Lungs,Heart,Kidney,C,The heart pumps blood in the circulatory system.,,,,,
What is the smallest prime number?,0,1,2,3,C,2 is the smallest and only even prime number.,,,,,
Which planet is closest to the Sun?,Venus,Mercury,Mars,Earth,B,Mercury orbits closest to the Sun.,,,,,
What year did the World War 2 end?,1945,1940,1939,1942,A,World War 2 ended in 1945.,,,,,
Which language has the most native speakers?,English,Spanish,Mandarin,Hindi,C,Mandarin Chinese has the most native speakers.,,,,,
What is the tallest mountain on Earth?,K2,Kangchenjunga,Mount Everest,Lhotse,C,Mount Everest is the Earth's tallest peak.,,,,,
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,A,Alexander Graham Bell is credited with inventing the telephone.,,,,,
Which element is liquid at room temperature?,Mercury,Iron,Gold,Silver,A,Mercury is liquid at room temperature.,,,,,
How many sides does a hexagon have?,5,6,7,8,B,A hexagon has 6 sides.,,,,,
What is the main gas present in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,B,Nitrogen makes up about 78% of Earth's atmosphere.,,,,,
Who wrote 'Harry Potter' series?,J.K. Rowling,Stephen King,Agatha Christie,George R.R. Martin,A,J.K. Rowling authored the Harry Potter books.,,,,,
What is 15% of 200?,25,30,35,40,B,15% of 200 is 30.,,,,,
What device is used to measure temperature?,Barometer,Hydrometer,Thermometer,Altimeter,C,Thermometer measures temperature.,,,,,
Which country gifted the Statue of Liberty to the USA?,France,England,Spain,Italy,A,France gifted the Statue of Liberty to the USA.,,,,,
